epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.351,3.12837,3.07478,1.38054,0.00679,0.35404,0.00491,0.0011,2.57838,10.9063,1.4148,0.002,0.002,0.002
2,271.04,2.66001,2.14584,1.23484,0.00145,0.0528,0.00161,0.00043,2.49755,9.44295,1.51553,0.00134,0.00134,0.00134
3,398.477,2.32286,1.72504,1.07778,0.00401,0.20186,0.01187,0.00362,3.11941,9.15166,2.50038,0.00068,0.00068,0.00068
