epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.384,3.2964,3.32651,1.48882,0.00012,0.00621,6e-05,1e-05,3.09418,20.3209,2.14825,0.002,0.002,0.002
2,263.855,2.69314,2.254,1.22437,0.00024,0.00311,8e-05,2e-05,2.71717,5037.5,4.71524,0.00134,0.00134,0.00134
3,394.482,2.51889,1.87841,1.13645,0.00083,0.01863,0.00043,0.00012,2.66344,97.3376,1.39318,0.00068,0.00068,0.00068
